Country,Weight,LanguageLearningTime,MathLearningTime,ScienceLearningTime,LanguageClassTime,MathClassTime,ScienceClassTime,ICTResources,LanguageScore,MathScore,ScienceScore,ICTResourcesClass
Albania,22037.7194,176.163265973,170.987173641,148.288434238,44.8206253411,44.9533831663,44.8887839592,-1.45521077081,395.005118853,392.237435343,396.986716218,D
Argentina,165122.5369,239.903187704,251.379921053,210.19138456,99.4315142999,100.900333454,90.1636427347,-0.685504883858,408.50839214,392.919313429,415.52032482,C
Australia,125247.7028,231.559339432,235.480548343,226.411395028,55.5045141427,55.4852217489,55.482604445,0.566058272879,523.578671413,514.943587267,531.946393589,A
Austria,48921.2381,144.442649059,155.195948236,199.804354351,49.8751171856,49.8751171856,49.8751171856,0.109605932663,496.496315521,513.6779774,513.483786206,B
Belgium,56470.6722,221.288810578,221.511992126,191.018106321,51.2251539021,51.2560294492,51.3828469285,0.338368108907,533.106961669,535.398266549,526.982716852,A
Brazil,1042429.9517,208.342909494,215.949399315,159.419123078,51.7538249433,52.4925049021,50.7225112525,-1.11032693388,423.830157547,403.396895579,417.532451417,C
Bulgaria,31138.5453,140.399811474,133.766751933,256.556509196,42.1883675825,42.2197404675,42.9083194134,-0.304093354033,453.820026079,450.575383527,459.945200672,B
Canada,206489.4396,316.146720834,314.126251942,306.465993581,72.5190998136,72.4889300097,72.517599116,0.333677309612,532.753331227,524.964239579,533.520026643,A
Chile,112146.117,373.658080694,397.304292488,295.813668497,63.8728003262,63.8728003262,63.8728003262,-0.698794455442,450.186284163,430.688310245,452.340048551,C
China-Shanghai,50172.3842,246.427827366,265.673868632,258.849614852,40.8819476771,41.0975630195,40.8529701983,-0.562262319398,572.081529955,616.529707779,583.317676904,C
Chinese Taipei,176798.7242,255.528796211,245.484314079,191.397967633,48.0340696367,48.0306683565,48.0035268139,-0.199114550364,529.649084957,567.503747726,529.036825877,B
Colombia,257783.6023,231.578361667,265.275151737,205.912470069,72.2475989684,74.8937613345,69.5470676298,-1.49451943606,417.853603154,388.806670098,412.626209611,D
Connecticut (USA),23041.3879,231.059496702,231.963457453,253.059036209,56.773318208,56.9504193929,58.5953666229,0.358116285608,534.36433764,514.71512478,529.716185951,A
